,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
1713,3.0,10.0,3.0,1.0,1.0,0.0,Eighteen,Kashmir Highway,0,4.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
1321,2.0,4.0,2.0,1.0,1.0,1.0,El Cielo,GT Road,0,1.0,1.0,1.0,10.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5053,2.0,4.0,2.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,3.0,1.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
1195,3.0,1.0,3.0,1.0,1.0,1.0,Park Avenue,F-11,0,1.0,1.0,4.0,8.0,4.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
6457,3.0,5.0,3.0,1.0,1.0,1.0,Soan Garden,Soan Garden,0,2.0,3.0,1.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
3583,2.0,7.0,2.0,2.0,1.0,1.0,Residency,DHA Phase 2,0,1.0,12.0,10.0,19.0,0.0,Modern Era,High-Rise,High Rise,High-Capacity
3091,2.0,7.0,2.0,4.0,1.0,2.0,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,0,4.0,7.0,10.0,11.0,1.0,Brand New (2025),Mid-Level,Mid Rise Core,High-Capacity
6044,1.0,2.0,1.0,0.0,1.0,1.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
746,4.0,11.0,4.0,2.0,1.0,2.0,E-11,E-11,0,1.0,3.0,1.0,14.0,0.0,Modern Era,Lower Floors,High Rise,Single/None
1808,1.0,4.0,1.0,1.0,1.0,1.0,Madina Tower,E-11,0,1.0,1.0,1.0,11.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2232,2.0,4.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,1,1.0,4.0,1.0,7.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
2005,3.0,11.0,3.0,0.0,1.0,0.0,Askari Tower 2,DHA Phase 2,0,1.0,4.0,1.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
2343,2.0,4.0,2.0,1.0,1.0,1.0,DHA Phase 2,DHA Phase 2,0,1.0,1.0,2.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
3589,2.0,4.0,2.0,3.0,1.0,2.0,MPCHS,MPCHS - Multi Gardens,0,4.0,1.0,1.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5739,2.0,6.0,2.0,1.0,1.0,1.0,Radisson BLU Hotel & Residences,Mumtaz City,0,1.0,1.0,1.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
15,2.0,5.0,1.0,1.0,1.0,1.0,Cube Apartments,Bahria Enclave,0,1.0,2.0,4.0,10.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
3502,2.0,4.0,2.0,1.0,1.0,0.0,Ghauri Town,Ghauri Town,0,1.0,1.0,1.0,6.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
1909,4.0,10.0,3.0,2.0,2.0,1.0,Askari Tower 4,DHA Phase 5,1,4.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
1294,4.0,11.0,3.0,1.0,1.0,1.0,Askari Tower 4,DHA Phase 5,1,1.0,6.0,1.0,13.0,0.0,Brand New (2025),Mid-Level,High Rise,Single/None
19,1.0,2.0,1.0,1.0,1.0,0.0,Gulberg Greens,Gulberg Greens,0,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
875,3.0,12.0,3.0,2.0,1.0,2.0,F-11,F-11,0,1.0,1.0,3.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
2131,2.0,5.0,2.0,1.0,1.0,1.0,Soan Garden,Soan Garden,0,1.0,3.0,1.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
3520,3.0,5.0,3.0,2.0,1.0,1.0,Margalla View Housing Society,D-17,0,1.0,1.0,1.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Single/None
181,1.0,6.0,1.0,1.0,1.0,1.0,F-11,F-11,0,1.0,1.0,3.0,9.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Multiple Bank
2109,3.0,17.0,3.0,1.0,1.0,1.0,MPCHS,B-17,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
987,2.0,8.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,3.0,3.0,3.0,0.0,Modern Era,Lower Floors,Lower Levels,Multiple Bank
